,0,period
23,"[385, 6, 14, 411, 46, 58, 444, 446, 447, 192, 455, 468, 470, 602, 94, 353, 99, 102, 486, 109, 117, 373, 121]",1996
24,"[512, 353, 446, 134, 6, 584, 574, 117, 54, 314, 444, 541, 126]",1996
25,"[411, 476, 229, 40, 43, 46, 242, 373, 117, 566, 191]",1996
26,"[609, 117, 269]",1996
27,"[206, 117, 38, 31]",1996
28,"[512, 385, 5, 6, 133, 8, 262, 394, 395, 14, 142, 273, 402, 530, 404, 536, 411, 284, 541, 38, 170, 43, 173, 174, 559, 179, 436, 181, 566, 565, 54, 569, 314, 58, 444, 446, 447, 321, 455, 584, 458, 592, 340, 470, 602, 347, 476, 349, 94, 229, 102, 235, 109, 240, 498, 243, 117, 373, 507, 374, 121, 379, 126]",1996
29,"[353, 604, 269]",1996
30,"[35, 6, 40, 117, 314, 604]",1996
31,"[512, 6, 136, 524, 404, 411, 38, 40, 429, 181, 566, 314, 446, 191, 455, 602, 604, 109, 117]",1996
32,"[385, 6, 458, 269, 206, 470, 31, 240, 58]",1996
33,"[385, 5, 6, 455, 458, 404, 470, 602, 411, 347, 349, 94, 162, 35, 38, 102, 40, 486, 109, 242, 117, 566, 373, 58, 444, 446, 447]",1996
34,"[512, 6, 8, 524, 14, 530, 536, 26, 541, 37, 38, 40, 43, 46, 559, 54, 566, 56, 569, 58, 574, 584, 588, 592, 81, 602, 604, 94, 609, 99, 102, 107, 109, 117, 121, 126, 130, 133, 134, 136, 142, 145, 162, 170, 174, 176, 179, 181, 191, 192, 229, 235, 240, 242, 243, 284, 314, 321, 340, 347, 349, 353, 373, 374, 379, 385, 386, 394, 402, 404, 411, 429, 436, 444, 446, 447, 455, 458, 468, 470, 476, 485, 486, 498, 507]",1996
35,"[353, 385, 386, 6, 235, 524, 269, 109, 206, 14, 373, 501, 566, 181, 602, 604, 446, 191]",1996
36,"[192, 321, 512, 6, 262, 584, 136, 458, 588, 592, 468, 470, 602, 411, 26, 94, 353, 99, 229, 43, 46, 174, 240, 117, 373, 181, 56, 447]",1996
37,"[446, 6, 136, 574, 584, 117, 181, 54, 507, 126]",1996
38,"[385, 395, 524, 411, 541, 38, 40, 174, 566, 314, 58, 446, 592, 602, 604, 229, 235, 117, 373]",1996
39,"[40, 544]",1996
40,"[6, 206, 402, 470, 229, 235, 559, 243, 117, 501, 58]",1996
41,"[385, 38, 6, 40, 136, 121, 58, 349, 446, 447]",1996
42,"[162, 262, 6, 14, 411]",1996
43,"[512, 385, 386, 133, 6, 134, 8, 136, 524, 14, 142, 273, 402, 404, 26, 411, 541, 38, 170, 46, 176, 179, 436, 181, 54, 56, 314, 444, 446, 447, 192, 321, 574, 455, 584, 588, 592, 602, 604, 349, 94, 353, 229, 102, 486, 485, 235, 109, 242, 117, 373, 507, 126]",1996
44,"[353, 107, 43, 411, 373, 121, 314, 347, 476, 541]",1996
45,"[512, 5, 8, 584, 458, 14, 592, 470, 602, 347, 284, 604, 94, 353, 58, 38, 102, 235, 109, 174, 559, 240, 46, 181, 566, 117, 56, 121, 314, 446]",1996
46,"[5, 6, 455, 136, 404, 470, 602, 411, 347, 349, 94, 353, 38, 40, 170, 109, 46, 117, 373, 566, 58, 507, 444, 446, 447]",1996
47,"[544, 385, 602, 206]",1996
48,"[321, 6, 455, 136, 584, 458, 8, 262, 395, 142, 273, 530, 404, 602, 411, 476, 284, 58, 229, 38, 102, 40, 235, 109, 174, 436, 117, 373, 314, 446]",1996
49,"[512, 6, 14, 26, 541, 43, 46, 54, 56, 58, 321, 584, 588, 81, 602, 604, 94, 353, 99, 102, 109, 117, 373, 121, 126, 386, 133, 134, 411, 174, 179, 444, 446, 447, 192, 191, 455, 468, 470, 229, 486]",1996
50,"[544, 501, 269, 6]",1996
51,"[6, 262, 206, 602, 31, 373, 181, 501, 566, 121, 446]",1996
52,"[512, 385, 386, 133, 6, 8, 524, 14, 81, 468, 470, 602, 347, 604, 284, 94, 353, 58, 486, 235, 109, 46, 174, 559, 242, 565, 54, 566, 117, 373, 314, 501, 446, 191]",1996
53,"[385, 6, 455, 136, 8, 584, 14, 470, 602, 411, 604, 94, 99, 38, 170, 429, 46, 174, 240, 117, 373, 54, 121, 58, 446, 191]",1996
54,"[6, 262, 206, 604, 31, 58, 117, 501, 566, 314, 446]",1996
55,"[321, 385, 444, 6, 584, 43, 174, 179, 468, 117, 54, 470, 602, 604, 541, 126, 447]",1996
56,"[385, 130, 5, 134, 584, 524, 273, 145, 468, 470, 411, 604, 541, 347, 476, 353, 609, 229, 40, 107, 43, 46, 240, 436, 373, 54, 121, 314]",1996
57,"[386, 6, 8, 136, 584, 574, 142, 14, 404, 507, 470, 602, 411, 347, 284, 94, 541, 353, 58, 43, 314, 109, 498, 179, 117, 373, 181, 565, 54, 126, 379, 446, 191]",1996
58,"[592, 446, 117, 373, 602, 314, 206, 31]",1996
59,"[192, 321, 512, 446, 6, 136, 584, 107, 395, 174, 559, 240, 592, 468, 117, 56, 347, 94]",1996
60,"[5, 6, 8, 273, 26, 40, 43, 559, 565, 584, 602, 347, 604, 349, 94, 353, 109, 117, 373, 379, 126, 386, 136, 395, 142, 404, 411, 170, 174, 179, 436, 181, 446, 191, 455, 470, 476, 229, 235, 240, 498, 507]",1996
61,"[602, 269, 470, 486]",1996
62,"[6, 262, 8, 404, 31, 173, 174, 181, 566, 58, 314, 446, 321, 592, 602, 229, 107, 117, 373, 501, 121]",1996
63,"[446, 6, 458, 395, 592, 240, 373, 470, 501, 602, 284, 94, 604]",1996
64,"[5, 6, 8, 273, 40, 43, 559, 565, 584, 602, 347, 604, 349, 94, 353, 109, 117, 373, 379, 126, 386, 136, 394, 395, 142, 404, 411, 170, 174, 179, 436, 181, 446, 455, 470, 476, 229, 235, 240, 498, 507]",1996
65,"[512, 26, 40, 43, 46, 565, 566, 58, 574, 584, 588, 602, 604, 109, 117, 373, 121, 126, 130, 386, 133, 136, 145, 411, 429, 174, 179, 444, 446, 191, 455, 458, 468, 470, 229, 485, 242, 498]",1996
66,"[6, 8, 14, 530, 284, 35, 38, 40, 43, 46, 559, 54, 58, 574, 321, 584, 592, 602, 347, 604, 609, 99, 117, 379, 126, 385, 130, 136, 394, 395, 145, 404, 411, 170, 429, 174, 179, 436, 181, 446, 447, 455, 458, 470, 476, 485, 240, 498, 507]",1996
67,"[512, 385, 386, 133, 6, 5, 8, 394, 395, 524, 142, 14, 273, 530, 402, 404, 536, 411, 284, 541, 38, 170, 43, 173, 174, 559, 176, 179, 436, 181, 54, 566, 56, 565, 58, 314, 444, 446, 447, 192, 321, 455, 584, 458, 588, 592, 81, 340, 470, 602, 347, 476, 349, 94, 609, 229, 102, 486, 235, 109, 240, 498, 243, 117, 373, 507, 121, 379, 126]",1996
68,"[6, 458, 269, 402, 470, 604, 170, 43, 501, 121]",1996
69,"[130, 6, 136, 574, 584, 395, 592, 145, 81, 470, 602, 411, 284, 94, 609, 485, 486, 102, 40, 37, 43, 107, 109, 174, 240, 176, 242, 179, 117, 566, 374, 56, 569, 126, 446]",1996
70,"[385, 191, 6, 136, 170, 43, 395, 314, 142, 240, 373, 470, 94, 602, 284, 541, 446, 604]",1996
71,"[512, 385, 386, 5, 6, 133, 8, 395, 524, 142, 273, 402, 530, 404, 536, 411, 284, 541, 38, 170, 43, 173, 174, 559, 176, 179, 436, 181, 566, 54, 56, 314, 58, 444, 446, 447, 321, 455, 584, 458, 588, 592, 81, 340, 470, 602, 347, 476, 349, 94, 609, 229, 102, 486, 235, 109, 240, 498, 243, 117, 373, 507, 379, 126]",1996
72,"[512, 134, 6, 136, 394, 524, 592, 404, 602, 411, 604, 541, 353, 102, 40, 170, 43, 109, 174, 429, 240, 117, 566, 181, 314, 447]",1996
73,"[385, 6, 136, 14, 273, 162, 38, 40, 174, 566, 58, 446, 447, 191, 584, 602, 476, 349, 94, 99, 242, 373, 121]",1996
74,"[386, 395, 524, 592, 38, 109, 174, 243, 436, 117, 314]",1996
75,"[353, 229, 6, 486, 136, 40, 109, 243, 117, 373, 566, 121, 58, 411, 444, 349, 447]",1996
76,"[6, 314, 117, 602, 58, 604, 541, 191]",1996
77,"[386, 446, 6, 584, 8, 136, 142, 404, 470, 602, 26, 411, 347, 94, 353, 43, 109, 498, 179, 379, 117, 373, 181, 507, 126, 191]",1996
78,"[6, 373, 566, 31]",1996
79,"[314, 470, 117, 206]",1996
80,"[145, 273, 242, 411, 455, 40, 107, 604]",1996
81,"[512, 385, 5, 6, 262, 8, 133, 395, 524, 14, 142, 273, 402, 530, 404, 411, 284, 541, 162, 38, 170, 43, 173, 174, 559, 179, 436, 181, 566, 565, 314, 58, 444, 446, 447, 321, 455, 584, 458, 592, 470, 602, 347, 476, 349, 94, 229, 102, 235, 109, 240, 498, 117, 373, 507, 121, 379, 126]",1996
82,"[512, 321, 8, 584, 524, 592, 273, 402, 530, 602, 411, 476, 349, 94, 229, 170, 173, 109, 436, 117, 373, 446, 447]",1996
83,"[512, 385, 162, 99, 446, 6, 584, 136, 174, 273, 373, 566, 602, 58, 476, 349, 94, 447]",1996
84,"[512, 385, 386, 5, 133, 455, 6, 8, 588, 524, 142, 470, 602, 411, 162, 35, 38, 314, 109, 174, 46, 565, 566, 117, 373, 54, 58, 501, 444, 446, 191]",1996
85,"[385, 6, 455, 136, 584, 8, 14, 273, 470, 602, 411, 94, 99, 229, 38, 170, 429, 174, 46, 240, 373, 117, 121, 58, 446, 191]",1996
86,"[240, 544, 501, 6, 470, 58, 43, 269]",1996
87,"[512, 5, 6, 8, 273, 536, 541, 38, 43, 46, 559, 566, 56, 58, 321, 584, 588, 592, 340, 602, 347, 604, 349, 94, 353, 609, 99, 102, 109, 117, 373, 121, 379, 126, 130, 133, 134, 136, 411, 173, 174, 179, 446, 447, 455, 468, 470, 229, 486, 240, 507]",1996
88,"[584, 411, 604, 35, 38, 117, 121, 446, 191]",1996
89,"[512, 321, 192, 6, 455, 584, 458, 588, 592, 468, 470, 536, 602, 411, 26, 94, 353, 99, 229, 43, 174, 46, 240, 179, 181, 117, 373, 56, 121, 58, 447]",1996
90,"[321, 6, 458, 470, 284, 559, 240, 373, 501, 117, 566]",1996
91,"[512, 386, 130, 133, 6, 8, 136, 394, 524, 404, 26, 411, 284, 170, 43, 429, 46, 559, 174, 179, 181, 56, 569, 314, 58, 444, 574, 192, 584, 458, 588, 592, 468, 340, 470, 602, 347, 476, 604, 94, 353, 609, 229, 485, 107, 240, 498, 242, 117, 373, 374, 379, 126]",1996
92,"[536, 109, 262]",1996
93,"[6, 136, 411, 284, 40, 181, 566, 58, 444, 447, 592, 349, 353, 229, 486, 109, 117, 373, 121]",1996
94,"[385, 6, 269, 206, 181, 31]",1996
95,"[512, 5, 262, 530, 536, 26, 35, 38, 40, 43, 46, 565, 566, 58, 574, 584, 588, 602, 604, 109, 117, 373, 121, 126, 130, 386, 133, 136, 145, 411, 429, 174, 179, 444, 446, 191, 455, 458, 468, 470, 476, 485, 229, 235, 498, 242]",1996
96,"[512, 5, 455, 136, 584, 458, 588, 530, 470, 536, 602, 411, 476, 604, 126, 229, 38, 40, 43, 235, 109, 174, 46, 498, 179, 117, 373, 566, 58, 444, 446]",1996
97,"[512, 321, 6, 455, 136, 584, 458, 588, 530, 404, 602, 411, 476, 541, 58, 38, 102, 40, 170, 235, 43, 174, 559, 436, 117, 373, 181, 314, 444, 446, 447]",1996
98,"[544, 470, 43, 314, 411, 541, 206, 31]",1996
99,"[385, 6, 235, 206, 501, 31]",1996
100,"[512, 386, 5, 133, 584, 458, 468, 470, 602, 604, 476, 38, 235, 109, 174, 46, 242, 117, 566, 565, 373, 121, 58, 446, 191]",1996
101,"[385, 273, 373, 604, 269, 191]",1996
102,"[512, 130, 6, 262, 136, 43, 174, 179, 181, 56, 58, 192, 321, 455, 584, 592, 94, 240, 117]",1996
103,"[273, 468, 373, 191]",1996
104,"[385, 6, 262, 273, 404, 411, 284, 541, 38, 40, 174, 566, 314, 58, 446, 191, 602, 604, 476, 235, 117, 373]",1996
105,"[512, 353, 385, 6, 102, 134, 43, 109, 174, 14, 117, 602, 411, 604, 541, 447]",1996
106,"[353, 229, 470, 5, 107, 43, 604, 31]",1996
107,"[385, 5, 6, 136, 35, 38, 40, 170, 429, 46, 58, 444, 446, 447, 455, 458, 468, 470, 347, 349, 353, 117, 121, 507]",1996
108,"[38, 102, 40, 136, 6, 588, 181, 373, 602, 314, 541]",1996
109,"[501, 206, 6, 14]",1996
110,"[99, 446, 35, 6, 136, 40, 46, 14, 347, 404, 117, 373, 470, 602, 507, 58, 411, 94]",1996
111,"[162, 38, 6, 40, 262, 273, 404, 117, 373, 566, 314, 604, 446, 191]",1996
112,"[411, 117, 206]",1996
113,"[512, 385, 130, 5, 6, 134, 8, 136, 394, 395, 142, 273, 530, 402, 404, 536, 411, 284, 541, 38, 40, 170, 43, 173, 46, 559, 174, 179, 436, 181, 54, 566, 56, 58, 314, 444, 446, 447, 321, 455, 584, 458, 588, 592, 81, 340, 468, 470, 602, 347, 476, 349, 94, 604, 353, 229, 102, 235, 109, 240, 498, 117, 373, 507, 121, 379, 126]",1996
114,"[6, 8, 524, 26, 284, 541, 43, 46, 559, 566, 56, 569, 314, 584, 588, 592, 81, 340, 602, 347, 349, 94, 353, 609, 99, 117, 386, 136, 395, 411, 170, 174, 176, 181, 446, 447, 192, 458, 470, 476, 229, 485, 486, 235, 240, 498]",1996
115,"[512, 6, 262, 8, 524, 273, 530, 541, 38, 43, 559, 565, 566, 58, 314, 321, 584, 592, 602, 347, 349, 94, 109, 117, 373, 121, 379, 385, 402, 404, 411, 162, 170, 173, 174, 436, 181, 446, 447, 455, 458, 470, 476, 229, 235]",1996
116,"[385, 373, 117, 602, 58, 411, 604, 541, 446]",1996
117,"[6, 206, 404, 470, 602, 235, 109, 559, 117, 501, 58]",1996
118,"[512, 385, 6, 136, 584, 447, 14, 142, 273, 602, 476, 349, 94, 162, 99, 38, 40, 174, 242, 373, 566, 121, 58, 446, 191]",1996
119,"[386, 5, 8, 458, 592, 470, 602, 347, 284, 94, 35, 58, 38, 235, 109, 559, 117, 181, 566, 314, 446, 191]",1996
120,"[5, 6, 404, 536, 411, 162, 35, 43, 429, 436, 566, 58, 191, 455, 584, 458, 470, 476, 604, 117]",1996
121,"[321, 6, 107, 395, 240, 373, 117, 602, 94]",1996
122,"[35, 38, 6, 455, 235, 109, 174, 117, 181, 121, 314, 446]",1996
123,"[162, 446, 262, 6, 40, 38, 404, 117, 566, 314, 604, 94, 191]",1996
124,"[6, 40, 429, 559, 240, 373, 284, 121, 58, 604, 446]",1996
125,"[5, 6, 14, 35, 38, 40, 46, 566, 58, 602, 347, 349, 94, 353, 99, 102, 107, 109, 117, 373, 121, 385, 136, 404, 411, 162, 170, 444, 446, 447, 192, 455, 458, 468, 470, 486, 242, 507]",1996
126,"[321, 130, 6, 136, 574, 584, 8, 395, 14, 592, 145, 470, 602, 411, 347, 284, 609, 35, 126, 485, 99, 40, 43, 46, 174, 240, 498, 179, 436, 117, 58, 446]",1996
127,"[262, 6, 40, 117, 373, 602, 411, 349, 191]",1996
128,"[6, 402, 117, 602, 58, 191]",1996
129,"[385, 584, 470, 411, 229, 46, 373, 121, 191]",1996
130,"[262, 134, 584, 38, 170, 235, 436, 117, 447]",1996
131,"[162, 6, 559, 181, 284, 447]",1996
132,"[512, 385, 386, 133, 6, 455, 8, 5, 262, 588, 524, 142, 145, 470, 602, 411, 541, 162, 35, 58, 38, 109, 174, 46, 565, 566, 117, 373, 569, 314, 54, 444, 501, 446, 191]",1996
133,"[385, 386, 6, 524, 269, 14, 181, 566, 446, 191, 588, 602, 604, 353, 235, 109, 373, 501, 121]",1996
134,"[512, 6, 262, 8, 273, 530, 43, 559, 566, 58, 314, 321, 584, 592, 602, 347, 349, 94, 109, 117, 373, 379, 385, 402, 404, 411, 170, 173, 174, 436, 181, 446, 447, 455, 458, 470, 476, 229]",1996
135,"[38, 8, 46, 240, 592, 242, 468, 566, 602, 284, 94, 604]",1996
136,"[386, 446, 8, 584, 235, 240, 470, 602, 347, 604, 94, 191]",1996
137,"[353, 229, 5, 40, 584, 43, 604, 46, 240, 273, 347, 436, 373, 470, 121, 411, 476, 191]",1996
138,"[386, 5, 6, 584, 136, 394, 395, 273, 470, 602, 604, 94, 229, 40, 170, 43, 235, 109, 174, 559, 240, 179, 436, 117, 373, 126]",1996
139,"[6, 411, 476, 604, 162, 117, 566, 58, 191]",1996
140,"[512, 385, 5, 6, 455, 8, 133, 588, 142, 14, 145, 470, 602, 411, 162, 35, 58, 229, 38, 109, 174, 46, 117, 373, 565, 566, 314, 444, 446]",1996
141,"[262, 6, 404, 117, 446, 31]",1996
142,"[206, 470, 31, 544, 235, 314, 174, 117, 58]",1996
143,"[130, 262, 455, 136, 574, 584, 458, 145, 530, 470, 602, 411, 604, 476, 35, 58, 485, 38, 40, 43, 429, 46, 174, 498, 179, 117, 126, 446, 191]",1996
144,"[386, 446, 5, 6, 455, 136, 584, 394, 395, 273, 470, 602, 26, 604, 411, 94, 353, 229, 40, 170, 43, 235, 109, 174, 559, 240, 179, 436, 117, 373, 126, 191]",1996
145,"[385, 38, 6, 170, 235, 395, 174, 559, 240, 436, 117, 602, 314, 541, 447]",1996
146,"[512, 385, 386, 133, 6, 455, 588, 14, 470, 602, 411, 541, 35, 229, 109, 174, 46, 117, 373, 54, 58, 444, 446, 191]",1996
147,"[385, 235, 524, 109, 273, 117, 566, 373, 284, 602, 604, 446, 191]",1996
148,"[512, 321, 5, 6, 455, 584, 133, 136, 134, 592, 273, 340, 470, 347, 604, 349, 94, 541, 353, 126, 38, 102, 43, 173, 174, 559, 109, 240, 46, 117, 566, 58, 446, 447]",1996
149,"[6, 136, 592, 284, 349, 353, 162, 99, 559, 181, 447]",1996
150,"[592, 501, 559]",1996
151,"[385, 6, 136, 8, 14, 273, 411, 38, 174, 46, 58, 446, 191, 455, 584, 470, 602, 94, 99, 229, 373, 117, 121]",1996
152,"[6, 455, 429, 404, 117, 566, 411, 604, 191]",1996
153,"[321, 353, 6, 40, 584, 8, 429, 559, 240, 117, 373, 181, 58, 284, 446, 604]",1996
154,"[5, 6, 455, 584, 136, 394, 395, 142, 273, 404, 470, 347, 476, 349, 94, 604, 353, 40, 170, 43, 235, 109, 174, 559, 240, 498, 436, 181, 117, 565, 126, 446]",1996
155,"[6, 8, 40, 584, 43, 429, 174, 242, 117, 181, 476, 446]",1996
156,"[512, 6, 262, 273, 530, 404, 411, 162, 38, 40, 559, 565, 566, 58, 444, 446, 455, 602, 349, 353, 229, 235, 373]",1996
157,"[501, 206, 6, 191]",1996
158,"[353, 35, 6, 40, 458, 242, 404, 117, 566, 373, 411, 446, 191]",1996
159,"[512, 130, 133, 6, 134, 5, 8, 136, 524, 273, 411, 541, 38, 43, 173, 46, 174, 559, 179, 566, 56, 58, 446, 447, 321, 455, 584, 588, 592, 340, 468, 470, 602, 347, 604, 349, 94, 353, 609, 99, 229, 102, 486, 485, 107, 109, 240, 242, 117, 373, 121, 379, 126]",1996
160,"[385, 6, 136, 170, 43, 240, 592, 404, 117, 181, 476, 604, 349, 447]",1996
161,"[385, 6, 170, 395, 524, 240, 592, 602, 314, 541, 446]",1996
162,"[512, 385, 6, 40, 136, 174, 14, 566, 602, 447]",1996
163,"[6, 136, 240, 501, 284, 604]",1996
164,"[385, 524, 269, 206, 347, 31, 544, 43, 240, 121, 314]",1996
165,"[38, 170, 395, 524, 109, 117, 373, 446, 447]",1996
166,"[512, 6, 8, 14, 284, 541, 43, 565, 56, 314, 58, 574, 584, 588, 81, 602, 347, 94, 353, 102, 109, 117, 373, 379, 126, 134, 136, 142, 402, 404, 411, 176, 179, 444, 446, 468, 470, 486, 498, 242]",1996
167,"[353, 386, 133, 102, 38, 40, 235, 588, 109, 604, 58, 411, 284, 446, 191]",1996
168,"[35, 5, 584, 458, 117, 470, 566, 58, 411, 604, 191]",1996
169,"[38, 40, 584, 170, 314, 436, 566, 58, 541]",1996
170,"[512, 130, 386, 133, 6, 134, 8, 136, 394, 395, 524, 145, 530, 404, 26, 411, 284, 541, 38, 40, 170, 43, 429, 46, 174, 559, 179, 181, 566, 56, 58, 314, 444, 574, 446, 192, 191, 321, 584, 458, 588, 592, 81, 340, 468, 470, 602, 347, 604, 476, 94, 609, 353, 485, 229, 486, 107, 235, 240, 242, 498, 373, 374, 117, 379, 126]",1996
171,"[6, 8, 584, 458, 447, 273, 404, 411, 476, 284, 353, 229, 102, 40, 43, 174, 46, 117, 373, 181, 314, 446, 191]",1996
172,"[385, 386, 6, 602, 476, 229, 109, 181, 501, 446]",1996
173,"[512, 353, 385, 6, 394, 524, 109, 174, 14, 117, 566, 602, 314, 411, 604, 541]",1996
174,"[353, 386, 102, 134, 486, 584, 43, 109, 46, 373, 602, 56, 58, 444]",1996
175,"[314, 604, 501, 6]",1996
176,"[385, 6, 262, 8, 394, 145, 411, 35, 38, 46, 174, 54, 58, 446, 191, 455, 470, 602, 117, 373]",1996
177,"[385, 38, 6, 262, 314, 206, 117, 566, 501, 121, 58, 446, 31]",1996
178,"[512, 386, 6, 136, 395, 411, 174, 46, 559, 56, 446, 191, 584, 592, 468, 602, 347, 94, 353, 102, 240, 117, 373]",1996
179,"[385, 6, 14, 411, 43, 174, 46, 179, 54, 58, 446, 447, 191, 321, 455, 584, 470, 602, 604, 609, 99, 117, 126]",1996
180,"[192, 321, 130, 512, 6, 262, 136, 455, 584, 592, 468, 604, 94, 43, 429, 174, 240, 242, 179, 117, 181, 56, 58, 446]",1996
181,"[512, 385, 386, 5, 133, 455, 6, 8, 588, 524, 142, 145, 470, 602, 411, 541, 162, 38, 314, 109, 174, 46, 565, 566, 117, 373, 54, 58, 444, 446, 191]",1996
182,"[512, 130, 133, 6, 134, 5, 8, 136, 273, 536, 411, 541, 38, 43, 173, 46, 174, 559, 179, 566, 56, 58, 446, 447, 321, 455, 584, 588, 592, 340, 468, 470, 602, 347, 604, 349, 94, 353, 609, 99, 229, 102, 486, 485, 109, 240, 379, 117, 373, 121, 507, 126]",1996
183,"[498, 117, 470, 58, 411, 314, 31]",1996
184,"[353, 99, 102, 455, 136, 584, 170, 429, 174, 240, 592, 436, 117, 56, 604, 447]",1996
185,"[512, 6, 8, 273, 530, 536, 541, 38, 46, 54, 56, 314, 574, 321, 584, 588, 592, 602, 604, 349, 94, 353, 102, 109, 117, 373, 126, 385, 134, 136, 142, 402, 404, 411, 170, 179, 436, 181, 444, 446, 447, 455, 229, 235, 507]",1996
186,"[353, 191, 35, 102, 6, 584, 38, 429, 559, 117, 121, 284, 446, 604]",1996
187,"[512, 385, 386, 6, 8, 14, 468, 470, 602, 347, 604, 284, 94, 353, 486, 314, 109, 46, 174, 559, 242, 117, 566, 373, 58, 446, 191]",1996
188,"[35, 6, 8, 43, 174, 404, 117, 181, 411, 476, 446]",1996
189,"[321, 6, 38, 136, 170, 43, 235, 109, 395, 559, 240, 524, 436, 373, 284, 446, 604]",1996
190,"[353, 35, 117, 102, 584, 284, 446, 191]",1996
191,"[512, 321, 6, 455, 136, 584, 458, 262, 588, 592, 470, 536, 602, 411, 94, 162, 229, 43, 174, 117, 181, 373, 58, 447]",1996
192,"[395, 501, 6]",1996
193,"[512, 385, 5, 6, 134, 8, 136, 395, 14, 142, 273, 402, 530, 404, 536, 411, 284, 541, 38, 40, 170, 43, 173, 174, 559, 46, 179, 436, 181, 566, 54, 56, 314, 58, 444, 446, 447, 321, 455, 584, 458, 588, 592, 81, 340, 470, 602, 347, 476, 349, 94, 604, 353, 229, 102, 235, 109, 240, 498, 117, 373, 379, 126]",1996
194,"[5, 14, 35, 38, 46, 566, 58, 446, 458, 468, 470, 602, 347, 94, 353, 486, 109, 242, 117, 121, 507]",1996
195,"[6, 273, 530, 284, 541, 38, 40, 43, 559, 54, 569, 314, 574, 584, 592, 340, 602, 604, 609, 117, 374, 126, 130, 136, 395, 145, 411, 429, 174, 173, 179, 446, 447, 455, 458, 470, 476, 485, 235, 240]",1996
196,"[192, 385, 6, 455, 136, 14, 468, 404, 470, 602, 411, 347, 349, 94, 353, 99, 35, 102, 486, 40, 107, 109, 46, 242, 117, 373, 566, 121, 58, 507, 444, 446, 447]",1996
197,"[385, 262, 6, 40, 235, 404, 373, 566, 121, 58, 411, 604, 446, 191]",1996
198,"[385, 373, 136, 602, 444, 109, 446, 191]",1996
199,"[604, 269, 470]",1996
200,"[321, 6, 262, 8, 592, 107, 174, 117, 181, 58, 446]",1996
201,"[386, 6, 584, 109, 14, 402, 181, 58, 411]",1996
202,"[99, 38, 602, 121, 58, 349, 446]",1996
