,users,period
10,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
11,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
12,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
13,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
14,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
15,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
16,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
17,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
18,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
19,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
20,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
21,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
22,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
23,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
24,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
25,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
26,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
27,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
28,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
29,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
30,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
31,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
32,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
33,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
34,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
35,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
36,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
37,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
38,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
39,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
40,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
41,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
42,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
43,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
44,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
45,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
46,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
47,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
48,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
49,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
50,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
51,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
52,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
53,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
54,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
55,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
56,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
57,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
58,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
59,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
60,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
61,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
62,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
63,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
64,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
65,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
66,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
67,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
68,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
69,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
70,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
71,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
72,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
73,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
74,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
75,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
76,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
77,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
78,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
79,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
80,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
81,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
82,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
83,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
84,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
85,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
86,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
87,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
88,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
89,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
90,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
91,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
92,"102,107,109,117,121,126,130,133,134,136,14,142,145,162,170,173,174,176,179,181,191,206,229,235,240,242,243,26,262,269,273,284,31,314,321,347,349,35,353,37,373,38,385,386,395,40,402,411,429,43,446,458,46,470,486,5,501,524,54,541,544,559,56,58,588,592,6,609,8,81,94,99",1996
